ds,Most Likely Case,Worst Case,Best Case
2022-12-29,92.99817401492209,88.98188434047944,97.01760905705332
2022-12-30,93.0224998811227,89.378489677259,97.06321017499378
2022-12-31,93.13272980583771,89.50435325279838,97.22554755573915
2023-01-01,93.14442223473641,89.06824178124491,97.04279568758463
2023-01-02,92.98829501195873,89.37276082895296,96.78058363098307
2023-01-03,93.0481058398534,89.1893688737872,97.129601204601
2023-01-04,93.09266345220625,89.15284415323235,97.10117516368994
2023-01-05,93.12570555259848,89.40855649984722,97.18145900847166
2023-01-06,93.19458746839601,89.13797035706374,96.99490588202423
2023-01-07,93.34686367738185,89.58689716748252,97.6281499326555
2023-01-08,93.39694805155403,89.28738587786921,97.29341262333035
2023-01-09,93.27448464487922,89.09541348044623,97.27947275417915
2023-01-10,93.36225499813924,89.24812073608172,97.58264038152437
2023-01-11,93.42821400355088,89.79630643007984,97.44136140270908
2023-01-12,93.47538974824472,89.18339484674733,97.50238218763796
2023-01-13,93.5505907223696,89.6291354459425,97.31244716409296
2023-01-14,93.70100206667438,89.71437075469564,97.66378331969669
2023-01-15,93.74085631705486,89.79589027270683,97.61017816036849
2023-01-16,93.59981019112456,89.6696246134136,97.46336801327446
2023-01-17,93.66085322090731,89.78319628690683,97.65710671650281
2023-01-18,93.69234022253559,89.60340027692702,97.54810622515488
2023-01-19,93.6978830889211,89.55699167602215,97.54059198601928
2023-01-20,93.72504547519867,89.62198997689404,97.74913872499496
2023-01-21,93.82192234833211,89.79658840944177,97.85992816783396
2023-01-22,93.80379025994816,89.87338096118816,97.67658083646239
2023-01-23,93.60146038385798,89.63979194340534,97.62886187830593
2023-01-24,93.59916070097869,89.66020303153515,97.625963752227
2023-01-25,93.56653996864516,89.63318183435462,97.43616683650654
2023-01-26,93.5085296574408,89.53874284645372,97.53543698542202
2023-01-27,93.4740081558728,89.26927095029981,97.19372818522723
