ds,Most Likely Case,Worst Case,Best Case
2022-12-29,42.3042239164731,38.289385074461734,46.16168466442863
2022-12-30,42.425081102345764,38.45524912039557,46.35700655116552
2022-12-31,42.718919225953805,38.484125094243325,46.452096316255535
2023-01-01,42.836933123445064,38.36447230642167,46.76105870650662
2023-01-02,42.78582389809537,38.7132479584935,47.14401626862503
2023-01-03,42.893604244017,38.85110728032655,46.703511728718794
2023-01-04,42.96857448199243,38.979559950413055,47.08384028018448
2023-01-05,43.071496336153906,39.020978026559675,46.96697050953444
2023-01-06,43.14525288283663,39.22406689694245,47.276930652036455
2023-01-07,43.38371911083924,39.50492646655859,47.36698904494075
2023-01-08,43.43932604104402,39.49938412397791,47.60629382623848
2023-01-09,43.32016394004332,39.396070083122865,47.137035750287716
2023-01-10,43.35575380645783,39.16500938589483,47.37866500012679
2023-01-11,43.355986592978596,39.33149868270465,47.603698341468316
2023-01-12,43.38325814020513,39.51984947343551,47.16137216711652
2023-01-13,43.382089254746305,39.258525644931176,47.439080381945466
2023-01-14,43.54795639896999,39.12322140771041,47.672282893865024
2023-01-15,43.53481696801012,39.8272629428045,48.09689004123594
2023-01-16,43.35217568832395,39.519094302917104,47.2624267303868
2023-01-17,43.330822261412095,39.31507930368501,47.5961328276983
2023-01-18,43.28174058072885,39.1333874051538,47.499196676333796
2023-01-19,43.268218259851885,39.1290142856049,47.58880857431368
2023-01-20,43.23544654324729,39.22619098923012,47.33046740665815
2023-01-21,43.379336565860555,39.150451852546304,47.322474435064215
2023-01-22,43.35403628301369,38.90809744227443,47.16484037111552
2023-01-23,43.168994788970096,38.834225674726596,47.350291307395416
2023-01-24,43.15470416564001,39.20693146661677,46.980047063363564
2023-01-25,43.121619041242425,38.93311783381853,47.08826206300398
2023-01-26,43.1322822873319,38.9030745389248,47.31776294360675
2023-01-27,43.13094646341656,38.79682831794207,46.893511833126716
